GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project3,edu.baker.project3,Fraction,0,312,0,32,0,60,0,33,0,17
Project3,edu.baker.project3,Project3,0,7,0,0,0,3,0,2,0,2
